titulo,letra
CORAÇÃO CIGANO (part. Luísa Sonza),"É que eu queria tanto que você ficasse Que ao invés de me soltar, você me abraçasse Dá só mais um pouquinho desse amor cigano Que segue me iludindo, e eu acreditando Fazer o que se ela roubou o meu juízo? Fazer o que se eu tô me sentindo vivo? Tirou o meu chão, me levou pro colchão E fez acampamento em outro coração Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar morando, oh Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar morando Yeah (coração cigano) Segue me enganando Do que você me dá, eu quero sempre mais Por uma hora ou duas noites, tanto faz Já leu minha mão, meu olhar, meu futuro Já sabe: Se manda mensagem, eu nem durmo Me leva pro céu, lá de cima me joga Esse amor cigano é um caminho sem volta Fazer o que se ela roubou o meu juízo? Fazer o que se eu tô me sentindo vivo? Tirou o meu chão, me levou pro colchão E fez acampamento em outro coração Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar morando, oh Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar, aqui no meu olhar Você não entra mais, chega Coração disse: Chega Mas por que meu Deus colocou numa só tanta beleza? E se eu chego à toa e vou tirando a roupa Se eu disser que não quero, ri, que essa piada é boa Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar morando, coração cigano Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar, e aqui no meu olhar morando"
PARECE,"Olhei, gostei Provei, viciei Quem era só pra dar uns amasso, eu dei um curto espaço Ela nem deu a mão, eu dei o braço O empolgado aqui achou que ia virar alguma coisa Os eu te amo de olho virado Cê parece o amor da minha vida, mas não é De longe, copo de Coca também parece café O álcool parece água, o açúcar parece sal O que parece que faz bem pode fazer mal Cê parece o amor da minha vida, mas não é De longe, copo de Coca também parece café O álcool parece água, o açúcar parece sal A gente parece de tudo, só não parece um casal Só não parece um casal Quem era só pra dar uns amasso, eu dei um curto espaço Ela nem deu a mão, eu dei o braço O empolgado aqui achou que ia virar alguma coisa Os eu te amo de olho virado Cê parece o amor da minha vida, mas não é De longe, copo de Coca também parece café O álcool parece água, o açúcar parece sal O que parece que faz bem pode fazer mal Cê parece o amor da minha vida, mas não é De longe, copo de Coca também parece café O álcool parece água, o açúcar parece sal A gente parece de tudo, só não parece um casal Só não parece um casal Cê parece o amor da minha vida, mas não é"
Cantada,"Pela luz do sol que me ilumina Não existe nada mais que me fascina Que te ver chegar Com a pele bronzeada e a boca vermelha E esse sorrisão de orelha a orelha Vai me faltando o ar Se esse sorriso for pra mim Eu sou o cara que tem mais sorte no mundo Azar de quem perdeu, agora sou eu Quem vai te queimar no meu fogo? E amanhã vai ter de novo E às 9 da manhã, quando você acordar E se perguntar: Como foi? Como é? A gente só saiu pra jantar e foi ficando É que a gente só saiu pra jantar e foi ficando A gente saiu e ficou pro café (É que a gente só saiu pra jantar e ficou pro café) Pela luz do sol que me ilumina Não existe nada mais que me fascina Que te ver chegar Com a pele bronzeada e a boca vermelha E esse sorrisão de orelha a orelha Vai me faltando o ar Se esse sorriso for pra mim Eu sou o cara que tem mais sorte no mundo Azar de quem perdeu, agora sou eu Quem vai te queimar no meu fogo? E amanhã vai ter de novo E às 9 da manhã, quando você acordar E se perguntar: Como foi? Como é? A gente só saiu pra jantar e foi ficando É que a gente só saiu pra jantar e ficou pro café E às 9 da manhã, quando você acordar E se perguntar: Como foi? Como é? A gente só saiu pra jantar e foi ficando É que a gente só saiu pra jantar e foi ficando A gente saiu e ficou pro café Pela luz do sol que me ilumina Não existe nada mais que me fascina Que te ver chegar"
ABALO EMOCIONAL,"Te falei: Não confunda as coisas Melhor nem se apegar Posso não tá mais aqui quando acordar Te avisei: Não sou flor que se cheira Mas essa abelha é teimosa Me cheira e ainda me beija Com essa boca gostosa Tá aí o motivo do meu abalo emocional Fico ou não fico? Vou ou não vou? É lance ou amor? E aí, chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Conseguiu tirar o mel de onde ninguém tirava Quando eu te conheci, pensei Vou dar o golpe, eu que levei Tentei roubar o coração de uma ladra Dona da lei, eu não queria te amar, te amei Eu não queria me entregar, me entreguei Eu não queria me jogar, eu me joguei Eu não queria Tá aí o motivo do meu abalo emocional Fico ou não fico? Vou ou não vou? É lance ou amor? E aí, chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Chegou pousando na minha revoada Freou minha boca que era acelerada Ela é porrada Oh, baixinha invocada Conseguiu tirar o mel de onde ninguém tirava"
Amar Não É Pecado,"Eu não sei de onde vem Essa força que me leva pra você Eu só sei que faz bem Mas confesso que no fundo eu duvidei Tive medo e em segredo Guardei o sentimento e me sufoquei Mas agora é a hora Vou gritar pra todo mundo de uma vez Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Eu não sei de onde vem Essa força que me leva pra você Eu só sei que faz bem Mas confesso que no fundo eu duvidei Tive medo e em segredo Guardei o sentimento e me sufoquei Mas agora é a hora Vou gritar pra todo mundo de uma vez Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Oh, oh Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Oh, oh"
AMBIENTE ERRADO,"Vazou um vídeo Era eu, não vou negar Eu não tava escondido Te avisei que eu ia lá E se eu disser que eu não peguei ninguém? Se eu disser que eu só fui pra beber? Se eu disser que alguém chegou em mim E quando disse: Oi, eu falei de você? Nada que eu disser Vai te convencer Eu posso tá no ambiente errado Rodeado de amigo safado Várias me querendo a noite inteira Que eu sou fiel até na bagaceira Eu posso tá no ambiente errado E rodeado de amigo safado Várias me querendo a noite inteira Que eu sou fiel até na bagaceira E se eu disser que eu não peguei ninguém? Se eu disser que eu só fui pra beber? Se eu disser que alguém chegou em mim E quando disse: Oi, eu falei de você? Nada que eu disser Vai te convencer Eu posso tá no ambiente errado Rodeado de amigo safado Várias me querendo a noite inteira Que eu sou fiel até na bagaceira Eu posso tá no ambiente errado E rodeado de amigo safado Várias me querendo a noite inteira Que eu sou fiel até na bagaceira"
DEUS É MUITO BOM,"Pro escuro da minha vida Você foi um Sol Nesse mar tão turbulento Cê foi meu farol Se eu sou quem eu sou É porque você chegou e arrumou A bagunça, o caos Meu milagre mais real Você me trouxe um caminhão de coisas boas Foi minha sorte disfarçada de pessoa Por tantas noites que eu passei juntando as mãos Pedindo ao céu pra me mandar uma direção Deus é muito bom Ouviu minha oração Deus é muito bom Mandou seu coração Pro escuro da minha vida Você foi um Sol Nesse mar tão turbulento Cê foi meu farol Se eu sou quem eu sou É porque você chegou e arrumou A bagunça, o caos, mm Meu milagre mais real Você me trouxe um caminhão de coisas boas Foi minha sorte disfarçada de pessoa Por tantas noites que eu passei juntando as mãos Pedindo ao céu pra me mandar uma direção Você me trouxe um caminhão de coisas boas Foi minha sorte disfarçada de pessoa Por tantas noites que eu passei juntando as mãos Pedindo ao céu pra me mandar uma direção Deus é muito bom Ouviu minha oração Deus é muito bom Mandou seu coração"
Morena,"Você podia ter caprichado menos no beijo Devia ter pegado leve na hora de amar Podia ter falado não, ao invés de aceito Talvez a história da gente não tava onde tá O que eu dei pra você? Tudo, tudo que eu tinha pra dar E do quê que adiantou? Nada, você só queria brincar Se eu não conseguir dormir, não é a cafeína É culpa da morena, do beijo da morena Se na balada eu zerar, não faltou esquema É culpa da morena, do beijo da morena Me diz quê que eu posso fazer se ela rouba a cena? Se até deitado no colo da loira, eu lembro da morena? Parei no segundo exato Que seus lábios falsos tocaram os meus Sempre que alguém me perguntava, dizia Sinto nada o amor evaporou, morreu Mesmo sabendo que as minhas chances são praticamente nulas O meu coração ainda te procura Lá vou eu deitar na minha cama Me virar pro outro lado e esquecer Não esqueci Se eu não conseguir dormir, não é a cafeína É culpa da morena, do beijo da morena Se na balada eu zerar, não faltou esquema É culpa da morena, do beijo da morena O que eu dei pra você? Tudo, tudo que eu tinha pra dar E do que que adiantou? Nada, você só queria brincar Se eu não conseguir dormir, não é cafeína É culpa da morena, do beijo da morena Se eu não conseguir dormir, não é a cafeína É culpa da morena, do beijo da morena Se na balada eu zerar, não faltou esquema É culpa da morena, do beijo da morena Me diz quê que eu posso fazer se ela rouba a cena? Se até deitado no colo da loira, eu lembro da morena? Me diz quê que eu posso fazer se ela rouba a cena? Se até deitado no colo da loira, eu lembro da morena?"
CERTEZA,"Os opostos se atraem Os iguais não se querem E só os dispostos permanecem A gente ouviu muito mais: Não vai dar certo Do que: Vai dar certo Mas esses pitacos nunca levamos a sério Corpo às vezes longe, coração sempre perto Você sempre soube o que cê quis Eu sempre soube o que eu quero A única dúvida entre eu e você É que filme assistir, o que a gente vai comer Qual a roupa pra sair, quem dirige, quem vai beber Qual igreja vai casar, comprar casa ou um apê Fazer festa ou viajar, qual o nome do bebê Mas todas as dúvidas a gente tira de letra Tirando essas dúvidas, o resto é certeza A gente ouviu muito mais: Não vai dar certo Do que: Vai dar certo Mas esses pitacos nunca levamos a sério Corpo às vezes longe, coração sempre perto Você sempre soube o que cê quis Eu sempre soube o que eu quero A única dúvida entre eu e você É que filme assistir, o que a gente vai comer Qual a roupa pra sair, quem dirige, quem vai beber Qual igreja vai casar, comprar casa ou um apê Fazer festa ou viajar, qual o nome do bebê A única dúvida entre eu e você É que filme assistir, o que a gente vai comer Qual a roupa pra sair, quem dirige, quem vai beber Qual igreja vai casar, comprar casa ou um apê Fazer festa ou viajar, qual o nome do bebê Mas todas as dúvidas a gente tira de letra Tirando essas dúvidas, o resto é certeza"
Sogrão Caprichou,"No espelho do quarto prepara arsenal Vem de vermelho, tô passando mal Ela dança envolvente, mexendo a cintura Mané quando olha derrapa na curva Faz carinha de santa, despede do pai Volto cedo, juro, sogrão, eu cuido Ele nem imagina o que a filha é capaz Tem que ser censurado o que que ela faz Perto de papai, você é santinha Quando o sogrão não tá, você perde a linha Perto de papai, você é santinha Quando o sogrão não tá, você perde a linha Não vai embora, não, deita aqui na cama Se seu pai te perguntar, você tá com Luan Santana Vou falar bem baixinho que é pra você saber Sogrão caprichou na hora de fazer você, hein? No espelho do quarto prepara arsenal Vem de vermelho, tô passando mal Ela dança envolvente, mexendo a cintura Mané quando olha derrapa na curva Faz carinha de santa, despede do pai Volto cedo, juro, sogrão, eu cuido Ele nem imagina o que a filha é capaz Tem que ser censurado o que que ela faz Perto de papai, você é santinha Quando o sogrão não tá, você perde a linha Perto de papai, você é santinha Quando o sogrão não tá, você perde a linha Não vai embora, não, deita aqui na cama Se seu pai te perguntar, você tá com Luan Santana Vou falar bem baixinho que é pra você saber Sogrão caprichou na hora de fazer você, hein? Perto de papai, você é santinha Quando o sogrão não tá, você perde a linha Perto de papai, você é santinha Quando o sogrão não tá, você perde a linha Perto de papai, você é santinha Quando o sogrão não tá, você perde a linha Perto de papai, você é santinha Quando o sogrão não tá, você perde a linha Não vai embora, não, deita aqui na cama Se seu pai te perguntar, você tá com Luan Santana"
