titulo,letra
Acordando o Prédio (part. Wao),"Aonde foi parar, o seu juízo? Já são quatro da manhã Daqui a pouco liga o síndico Será que tem como a moça gritar baixinho? Sei que está bom mas as paredes têm ouvidos E era pra ser escondido Já que não é mais Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo De novo de novo (Deixa o mundo saber baby como você é) (E os problemas a gente resolve depois, né?) (Porque quando você desce) (A lua também desce pra ver) Já me ganhou, agora é só me levar pra você Aonde foi parar, o seu juízo? Já são quatro da manhã Daqui a pouco liga o síndico Será que tem como a moça gritar baixinho? Sei que está bom mas as paredes têm ouvidos E era pra ser escondido Já que não é mais Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo De novo de novo (Deixa o mundo saber baby como você é) (E os problemas a gente resolve depois, né?) (Porque quando você desce) (A lua também desce pra ver) Já me ganhou, agora é só me levar pra você"
Acordando o Prédio (remix) (part. Make You Sweat),"Aonde foi parar, o seu juízo? Já são quatro da manhã Daqui a pouco liga o síndico Será que tem como a moça gritar baixinho? Sei que está bom mas as paredes têm ouvidos E era pra ser escondido Já que não é mais Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo De novo de novo Deixa o mundo saber baby como você é Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo De novo de novo Deixa o mundo saber baby como você é Aonde foi parar, o seu juízo? Já são quatro da manhã Daqui a pouco liga o síndico Será que tem como a moça gritar baixinho? Sei que está bom mas as paredes têm ouvidos E era pra ser escondido Já que não é mais Deixa o mundo saber baby como você é E os problemas a gente resolve depois, né? Porque quando você desce A lua também desce pra ver Já me ganhou, agora é só me levar pra você Deixa o mundo saber baby como você é Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo De novo de novo"
acordando o prédio [Álbum Viva],"Aonde foi parar o seu juízo? Já são quatro da manhã Daqui a pouco liga o síndico Será que tem como a moça gritar baixinho? Sei que tá bom, mas as paredes têm ouvido E era pra ser escondido, já que não é mais Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo, de novo, de novo Deixa o mundo saber, baby, como você é E os problemas a gente resolve depois, né? Porque, quando você desce, a Lua também desce pra ver Já me ganhou, agora é só me levar pra você Aonde foi parar o seu juízo? Já são quatro da manhã Daqui a pouco liga o síndico Será que tem como a moça gritar baixinho? Sei que tá bom, mas as paredes têm ouvido E era pra ser escondido, já que não é mais Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo, de novo, de novo Deixa o mundo saber, baby, como você é (Enquanto eles tão indo trabalhar) E os problemas a gente resolve depois, né? Porque, quando você desce, a Lua também desce pra ver (Enquanto eles tão indo trabalhar) Já me ganhou, agora é só me levar pra você Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo Vamo acordar esse prédio Fazer inveja pro povo Enquanto eles tão indo trabalhar A gente faz amor gostoso de novo, de novo, de novo"
Adrenalina,Meu coração tá disparado Meu corpo tá viciado Nessa louca adrenalina que me faz arrepiar Meu sangue ferve nas veias quando você me incendeia Vem me amar Eu sou vidrado em você Química perfeita Não consigo entender É impossível te dizer não Você criou as regras Estou na palma da suas mãos Tô me arriscando pelo seu amor Me aventurei para ficar perto do seu calor Inconsequente nossa paixão A cada dia uma nova emoção Meu coração tá disparado Meu corpo tá viciado Nessa louca adrenalina que me faz arrepiar Meu sangue ferve nas veias quando você me incendeia Vem me amar Meu coração tá disparado Meu corpo tá viciado Nessa louca adrenalina que me faz arrepiar Meu sangue ferve nas veias quando você me incendeia Vem me amar Eu sou vidrado em você Química perfeita Não consigo entender É impossível te dizer não Você criou as regras Estou na palma da suas mãos Tô me arriscando pelo seu amor Me aventurei para ficar perto do seu calor Inconsequente nossa paixão A cada dia uma nova emoção Meu coração tá disparado Meu corpo tá viciado Nessa louca adrenalina que me faz arrepiar Meu sangue ferve nas veias quando você me incendeia Vem me amar Quando você chegar mais perto vai ver Que a pulsação acelera quando eu tô com você Essa magia chega e domina O meu peito explode é pura adrenalina Meu coração tá disparado Meu corpo tá viciado Nessa louca adrenalina que me faz arrepiar Meu sangue ferve nas veias quando você me incendeia Vem me amar Meu coração tá disparado Meu corpo tá viciado Nessa louca adrenalina que me faz arrepiar Meu sangue ferve nas veias quando você me incendeia Vem me amar Vem me amar!
Água Com Açúcar,"Você terminou com ele e tá chorando Quer água com açúcar ou o meu amor? E se eu te contar que a água acabou? O açúcar que tem é só o meu amor Que coincidência, ó Eu sozinho e você só Por que que a gente não se amarra Um no outro e dá um nó? Eu sei, você quer desistir Mas tem uma opção melhor Antes de desistir do amor Tenta o meu, por favor Se não servir, cê joga fora, vai embora e diz que não deu Mas, antes disso, prova um beijo meu Que coincidência, ó Eu sozinho e você só Por que que a gente não se amarra Um no outro e dá um nó? Eu sei, você quer desistir Mas tem uma opção melhor Antes de desistir do amor Tenta o meu, por favor Se não servir, cê joga fora, vai embora e diz que não deu, não deu Mas, antes disso, prova um beijo meu Antes de desistir do amor Tenta o meu, por favor Se não servir, cê joga fora, vai embora e diz que não deu, não deu Mas, antes disso, prova um beijo meu Não vai embora sem um beijo meu Não vai embora sem"
Ah É,"Olha sei que é alta madrugada E você estava dormindo se sonhou não foi comigo Nem se lembra mais de mim Eu sei vou levando minha vida Mas meu coração pediu E a saudade insistiu, só queria te dizer Que a tristeza é tanta, mas a fila anda Sei quem é bom você saber, que acabei de conhecer A vida que roubou de mim Ah é, dancei, bebi chorei, sorri Tô bem de verdade Se quer saber aqui onde estou Deve ser a melhor festa da cidade Ah é, dancei, bebi chorei, sorri Tô bem de verdade Se quer saber aqui onde estou Deve ser a melhor festa da cidade"
Alô Tô Num Bar,"Alô, tô num bar chego já tô aqui batendo um papo comendo água Alô, tô num bar chego já pode ir fazendo a cama pra quem te ama Hoje convidei alguns amigos pra beber Mas daqui a pouco só vai dar eu e você Não fique preocupada nem grilada porque que não vou demorar Eu não vou te deixar abandonada vale a apena me esperar Pra gente se amar Alô, tô num bar chego já tô aqui batendo um papo comendo água Alô, tô num bar chego já pode ir fazendo a cama pra quem te ama Daqui a pouco amor volto pra casa Pra gente dar um show de madrugada Vamos fazer amor beijar na boca Vou te dar meu calor vou te deixar louca Alô, tô num bar chego já tô aqui batendo um papo comendo água Alô, tô num bar chego já pode ir fazendo a cama pra quem te ama Alô, tô num bar!"
ALUGA-SE,"Apesar de tudo o que me fez Ainda te vejo como o fogo que me atrai Só espero que se eu resolver me aproximar Não me queime mais Apesar de tudo ser talvez Ainda acredito na certeza que tem mais Intervalos são comuns em qualquer relação Quando perde o gás, o gás Se o nosso amor for um filme, certeza, vai ter o dois Eu vou mudar meu rumo, vou focar no trabalho Investir em outros casos Aluga-se um lugar temporário do meu lado Porque se for amor real, foi mal, o meu tá jurado Aluga-se um lugar temporário do meu lado Porque se for amor real, foi mal, o meu tá jurado Pra você, por tudo o que é mais sagrado Se o nosso amor for um filme, certeza, vai ter o dois Eu vou mudar meu rumo, vou focar no trabalho Investir em outros casos Aluga-se um lugar temporário do meu lado Porque se for amor real, foi mal, o meu tá jurado Aluga-se um lugar temporário do meu lado Porque se for amor real, foi mal, o meu tá jurado Pra você, por tudo o que é mais sagrado Pra você, por tudo o que é mais sagrado"
Amanhã,"Me deu carinho e foi embora Tão de repente me disse adeus Levou contigo a nossa história Nossos desejos, todos sonhos meus Me deixou aqui sem nenhuma esperança Somente a lembrança ficou deste amor Coração tá chorando agora feito criança Brinquedo quebrado não tem mais valor Amanhã Vai lembrar do que foi nós dois Descobrir que me ama e depois Vai saber que fui seu melhor caminho Amanhã Solidão vai estar no seu peito E voltar, desculpa, não vai ter jeito, não Você brincou com o meu coração Fique com a solidão Me deixou aqui sem nenhuma esperança Somente a lembrança ficou deste amor Coração tá chorando agora feito criança Brinquedo quebrado não tem mais valor Amanhã Vai lembrar do que foi nós dois Descobrir que me ama e depois Vai saber que fui seu melhor caminho Amanhã Solidão vai estar no seu peito E voltar, desculpa, não vai ter jeito, não Você brincou com o meu coração Fique com a solidão Fique com a solidão Amanhã"
Amar Não É Pecado,"Eu não sei de onde vem Essa força que me leva pra você Eu só sei que faz bem Mas confesso que no fundo eu duvidei Tive medo e em segredo Guardei o sentimento e me sufoquei Mas agora é a hora Vou gritar pra todo mundo de uma vez Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Eu não sei de onde vem Essa força que me leva pra você Eu só sei que faz bem Mas confesso que no fundo eu duvidei Tive medo e em segredo Guardei o sentimento e me sufoquei Mas agora é a hora Vou gritar pra todo mundo de uma vez Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Oh, oh Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Eu tô apaixonado, eu tô contando tudo E não tô nem ligando pro que vão dizer Amar não é pecado e se eu tiver errado Que se dane o mundo, eu só quero você Oh, oh"
AMBIENTE ERRADO,"Vazou um vídeo Era eu, não vou negar Eu não tava escondido Te avisei que eu ia lá E se eu disser que eu não peguei ninguém? Se eu disser que eu só fui pra beber? Se eu disser que alguém chegou em mim E quando disse: Oi, eu falei de você? Nada que eu disser Vai te convencer Eu posso tá no ambiente errado Rodeado de amigo safado Várias me querendo a noite inteira Que eu sou fiel até na bagaceira Eu posso tá no ambiente errado E rodeado de amigo safado Várias me querendo a noite inteira Que eu sou fiel até na bagaceira E se eu disser que eu não peguei ninguém? Se eu disser que eu só fui pra beber? Se eu disser que alguém chegou em mim E quando disse: Oi, eu falei de você? Nada que eu disser Vai te convencer Eu posso tá no ambiente errado Rodeado de amigo safado Várias me querendo a noite inteira Que eu sou fiel até na bagaceira Eu posso tá no ambiente errado E rodeado de amigo safado Várias me querendo a noite inteira Que eu sou fiel até na bagaceira"
AMIGA DE EX MINHA,"Foi mal aí, mas eu tenho coração Não que você não seja uma tentação Mas desencosta a mão da minha mão Vai freando esse seu beijo primeiro Toma tento, segura a emoção Quem tem você como amiga não precisa de inimiga, não Deixa eu te falar uma parada: Vai tomar uma água Sua amiga acabou comigo, mas eu não consigo, então não força a barra Se qualquer estranha chegasse e eu beijasse, tudo certo Mas amiga de ex minha eu não pego Mas amiga de ex minha eu não pego Mas desencosta a mão da minha mão Vai freando esse seu beijo primeiro Toma tento, segura a emoção Quem tem você como amiga não precisa de inimiga, não Deixa eu te falar uma parada: Vai tomar uma água Sua amiga acabou comigo, mas eu não consigo, então não força a barra Se qualquer estranha chegasse e eu beijasse, tudo certo Mas amiga de ex minha eu não pego Deixa eu te falar uma parada: Vai tomar uma água Sua amiga acabou comigo, mas eu não consigo, então não força a barra Se qualquer estranha chegasse e eu beijasse, tudo certo Mas amiga de ex minha eu não pego Mas amiga de ex minha eu não pego Mas amiga de ex minha eu não pego"
Amigos Pela Fé,"Quem me dará um ombro amigo Quando eu precisar? E se eu cair, se eu vacilar Quem vai me levantar? Sou eu quem vai ouvir você Quando o mundo não puder te entender Foi Deus quem te escolheu pra ser O melhor amigo que eu pudesse ter Amigos, pra sempre Bons amigos que nasceram pela fé Amigos, pra sempre Para sempre amigos sim, se Deus quiser Quem é que vai me acolher Na minha indecisão? Se eu me perder pelo caminho Quem me dará a mão? Foi Deus quem consagrou você e eu Para sermos bons amigos, num só coração Por isso eu estarei aqui Quando tudo parecer sem solução Peço a Deus que te guarde (Que te guarde, abençoe e mostre a sua face) E me dê a sua Paz Amigos, pra sempre Bons Amigos que nasceram pela fé Amigos, pra sempre Para sempre amigos sim Amigos, pra sempre Bons amigos que nasceram pela fé Amigos, pra sempre Para sempre amigos sim, se Deus quiser"
Amor Às Avessas,"Não foi fácil Apaixonei de primeira Amor às avessas Sorriso de fada Olhar de gata Bateu o sentimento Às avessas O problema é que ela é tímida Pra chegar nela tem que conhecer os pais Mas quando vi já era O olhar dela me perseguia a noite E eu pensando é ela É ela tem o dom de apaixonar De iludir Pode ser tímida, mas sei que me dá moral O problema é que ela é tímida Pra chegar nela tem que conhecer os pais Mas quando vi já era O olhar dela me perseguia a noite E eu pensando nela É capaz de eu me perder no seu abraço E topar ficar do seu lado Que esse seu jeito inesquecível já me prendeu"
Amor Blindado (part. PRISCILLA),"Entro no carro O som tá ligado A nossa música tocando no rádio Em tempos de relacionamentos tão rasos Encontrei você Meu presente do acaso A dose perfeita de loucura e juízo Um gole de você, tô no paraíso Em tempos em que todo mundo é indeciso Você decidiu ir até o fim comigo A gente é prova de que o amor existe Quando um quer desistir o outro insiste Um filme de romance que o mundo assiste Tem cenas de drama mas o final nunca é triste Atiram pedras e torcem pra dar errado Isso não pega no nosso amor blindado A gente já era um encontro marcado Você é o meu presente, futuro Nunca passado"
Amor de Interior (part. Camila Queiroz),"O que é que eu fui fazer? Te deixar tão longe, eu com vontade de te ver Tô juntando grana pra voltar no mês que vem Agora mesmo eu tava olhando o preço da passagem Princípio de amor E o padre da cidade diz que a gente combinou Tamo misturado igual feijão com arroz Tá vendo só? Eu te falei que iam ver nós dois Amor de interior No interior do peito já bateu saudade E seja onde for Por você eu mudo pra qualquer cidade Já tô com vontade Do teu beijo escondido pra sua mãe não ver Bateu mó saudade Do teu jeito envergonhado de me conhecer Não foi por acaso Que a gente se escolheu em meio à multidão São sotaques diferentes Mas é um só coração Princípio de amor E o padre da cidade diz que a gente combinou Tamo misturado igual feijão com arroz Tá vendo só? Eu te falei que iam ver nós dois Amor de interior No interior do peito já bateu saudade E seja onde for Por você eu mudo pra qualquer cidade Já tô com vontade Do teu beijo escondido pra sua mãe não ver Bateu mó saudade Do teu jeito envergonhado de me conhecer Não foi por acaso Que a gente se escolheu em meio à multidão São sotaques diferentes Mas é um só coração Já tô com vontade Do teu beijo escondido pra sua mãe não ver Bateu mó saudade Do teu jeito envergonhado de me conhecer Não foi por acaso Que a gente se escolheu em meio à multidão São sotaques diferentes Mas é um só coração Mas é um só coração Mas é um só coração"
Amor Demais,"O que você tem? Diz pra mim Posso ver nos seus olhos, vem, diz pra mim O que foi? Tô aqui Faço tudo pra te ver novamente sorrir Tô cansado de te ver sofrer Por alguém que não soube te amar Vendo tudo isso acontecer É o momento de me declarar É amor demais, é coisa de Deus Verdadeiro e profundo são os sonhos meus É amor, sem maldade Sentimento nasceu da mais pura amizade Desculpa, não quero te assustar Mais se quer uma amor de verdade Tô aqui pra te dar"
Amor Distante/ Inquilina de Violeiro (part. Zezé Di Camargo e Luciano) (pot-pourri),"Se eu fosse um passarinho Queria voar no espaço E pousar devagarinho Nas voltinhas do seus braços Queria sentir seu carinho Para aliviar a dor que eu passo Queria te dar um beijinho E depois um forte abraço É um ditado muito certo Quem ama nunca esquece Quem tem seu amor distante Chora, suspira e padece Coração sofre bastante Saudade no peito cresce Se você tem outro amor Seja franca e me esclarece Um rapaz com sua viola vem chegando do interior Com chapéu de boiadeiro e trajes de lavrador Em um prédio em São Paulo, entrou no elevador Também entrou uma moça igual um botão de flor Achando a moça tão bela o rapaz falou pra ela Quero ser o seu amor A mocinha respondeu com um gesto indelicado Para mim você não passa de um mendigo conformado Você com essa viola é um caipira atrasado Não tem onde cair morto e quer ser meu namorado Só fico com gente nobre Você é um rapaz tão pobre, não namoro pé rapado O rapaz muito educado então disse pra menina Ando com essa viola pra cumprir a minha sina Mas sou muito caprichoso, só tenho prédio de esquina Para mim você não passa de uma falsa granfina Onde moras não é seu, esse prédio aqui é meu Você é minha inquilina Me chame como quiser, de caipira ou de roceiro Esse chapéu representa o troféu dos boiadeiros Não largo dessa viola, porque sou bom brasileiro Atrasou seu aluguel, vim receber meu dinheiro Cumpra melhor seu dever Sinta o orgulho de ser inquilina de violeiro"
Amor Impossível,"Éramos como a nuvem e o sol Dividindo sempre o mesmo céu Desde criança ali sempre juntos E agora esse amor foi nascendo cruel Hoje eu aqui vim declarar Esse amor que cresce em mim Mas você parece não estar afim... Eu sei que esse amor pode ser impossível Mas sei que você pode ficar comigo Então, eu te esperarei aqui Eu sei que esse amor pode ser impossível Mas sei que você pode ficar comigo Então, eu te esperarei aqui Te esperarei aqui Quando você se virou para mim Com seu meigo jeito de mulher Dando esperanças ao meu coração Aumentando mais a minha paixão Hoje eu aqui vim declarar Esse amor que cresce em mim Mas você parece não estar afim Eu sei que esse amor pode ser impossível Mas sei que você pode ficar comigo Então, eu te esperarei aqui Eu sei que esse amor pode ser impossível Mas sei que você pode ficar comigo Então, eu te esperarei Te esperarei aqui"
Amor Perfeito,"Fecho os olhos pra não ver passar o tempo Sinto falta de você.... Anjo bom, amor perfeito no meu peito Sem você não sei viver Então vem Que eu conto os dias, conto as horas pra te ver Eu não consigo te esquecer Cada minuto é muito tempo sem você, sem você Eu não vou saber me acostumar Sem suas mãos pra me acalmar Sem seu olhar pra me entender Sem seu carinho, amor, sem você Vem me tirar da solidão, Fazer feliz meu coração Já não importa quem errou O que passou, passou Então vem.... Os segundos vão passando lentamente Não tem hora pra chegar Até quando te amando,te querendo Meu coração quer te encontrar Então vem Que nos teus braços esse amor é uma canção Eu não consigo te esquecer Cada minuto é muito tempo sem você, sem você.... Eu não vou saber me acostumar Sem suas mãos pra me acalmar Sem seu olhar pra me entender Sem seu carinho, amor, sem você Vem me tirar da solidão, Fazer feliz meu coração Já não importa quem errou O que passou, passou Então vem...."
Amor Sob Medida (part. Roupa Nova),Eita Você mexe com minha cabeça Tira os meus pés desse planeta Coisas que eu só sinto com você Por que? Talvez a sua alma Tenha a mesma cor da minha Ou tem alguém lá em cima Dando aquela ajudinha O fato é que a gente combina Você é o meu amor sob medida Casou tão bem na minha vida Deixou meu coração de boa Foi só provar o gosto da sua boca Que eu não quero saber de outra Teu beijo é tão bom que vicia Eita Você mexe com minha cabeça Tira os meus pés desse planeta Coisas que eu só sinto com você Por que? Talvez a sua alma Tenha a mesma cor da minha Ou tem alguém lá em cima Dando aquela ajudinha O fato é que a gente combina Você é o meu amor sob medida Casou tão bem na minha vida Deixou meu coração de boa Foi só provar o gosto da sua boca Que eu não quero saber de outra Seu beijo é tão bom que vicia Foi só provar o gosto da sua boca Que eu não quero saber de outra Seu beijo é tão bom que vicia Você é o meu amor sob medida Casou tão bem na minha vida Deixou meu coração de boa Foi só provar o gosto da sua boca Que eu não quero saber de outra Seu beijo é tão bom que vicia
Anjo Loiro/ O Último dos Apaixonados (pot-pourri),"Na casa onde ela mora, ao lado do seu portão Eu escrevi o meu nome dentro de um coração Expressei meus sentimentos A quem passa por aqui vai saber que já tem dono O amor que mora ali É um anjo loiro dos cabelos cacheados Um metro sessenta e cinco, o meu pedaço de pecado É uma paixão que rasga o peito pelo avesso Trinta e cinco de cintura, cem por cento que eu conheço Ai! Esse amor me mata A saudade dói, solidão corrói A paixão maltrata Ai! Entrou no meu peito Feito um passarinho que fez um ninho Não tem mais jeito Ai! Esse amor me mata A saudade dói, solidão corrói A paixão maltrata Ai! Entrou no meu peito Feito um passarinho que fez um ninho Não tem mais jeito Eu sou do tipo que ainda sai na madrugada Mas não trai a sua amada num momento de ilusão E no amor eu sou do tipo de homem Que ainda perde a fome quando sofre de paixão Eu sou do tipo que se diz fora de moda Mas isso não me incomoda quando se sabe o que quer Eu sou do tipo que ainda escreve poesia E faz amor todo dia sempre com a mesma mulher Eu sou um dos últimos dos apaixonados Do tipo que ainda faz serenata prum grande amor Se o romantismo ficou no passado Posso ser careta, ser antiquado, ser o que for Eu sou um dos últimos dos apaixonados Em cada mil existe um igual a mim Pode até falar quem quiser que eu sou quadrado Mas quando eu me entrego A uma paixão sou mesmo assim Pode até falar quem quiser que eu sou quadrado Mas quando eu me entrego A uma paixão sou mesmo assim"
Apaixonado,"Moreninha linda se tu soubesse O quanto padece quem tem amor Talvez nao faria o que faz agora Quem te adora não tem valor Não vivo sem ti, sem ti não sei viver Se eu perder seus beijos Juro querida que vou morrer Vou sofrer por ti, por ti vou sofrer Se for meu destino apaixonado quero morrer Moreninha linda se tu soubesse O quanto padece quem tem amor Talvez não faria o que faz agora Quem te adora não tem valor Não vivo sem ti, sem ti não sei viver Se eu perder seus beijos Juro querida que vou morrer Vou sofrer por ti, por ti vou sofrer Se for meu destino apaixonado quero morrer"
Apaixonado/ A Loira do Carro Branco (pot-pourri),"Moreninha linda Se tu soubesses O quanto padece Quem tem amor Talvez não faria O que faz agora Quem te adora Não tem valor Não vivo sem ti Sem ti não sei viver Se eu perder seus beijos Juro, querida, que vou morrer Vou sofrer por ti Por ti vou sofrer Se for meu destino Apaixonado quero morrer. Viajando solitário mergulhado na tristeza Numa curva da estrada eu tive uma surpresa Uma loira encantadora bonita por natureza Me pediu uma carona eu atendi com destreza Sentou bem pertinho de mim com muita delicadeza O meu carro foi o trono, eu passei a ser o dono da rainha da beleza Foi o dia mais feliz que o meu coração sentiu Mas meu mundo encantado de repente destruiu Ao ver a loura tremendo, gemendo e suando frio Parei o carro depressa na travessia de um rio Enquanto eu fui buscar a água, que tão triste ela pediu Ouvi cantar os pneus e me dizendo adeus com meu carro ela sumiu Somente um bilhetinho na estrada eu encontrei E quando acabei de ler emocionado eu fiquei No bilhete ela dizia por você me apaixonei Só peço que me perdoe, o golpe que eu lhe dei Para alimentar a esperança o seu carro eu levarei Me perdoe por favor, quando me der seu amor o carro eu entregarei Quem estiver me ouvindo preste muita atenção O meu carro não tem placa mas vou dar a descrição É branco e tem uma loura charmosa na direção Dou o carro de presente a quem fizer a prisão Por ela ter roubado o carro já tem absolvição Mas vou lhe dar um castigo vai ter que viver comigo, Por roubar meu coração."
Aparências,"Quantos anos já vividos, revividos, simplesmente por viver? Quantos erros cometidos, tantas vezes, repetidos por nós dois? Quantas lágrimas sentidas e choradas Quase sempre às escondidas, pra nenhum dos dois saber? Quantas dúvidas deixadas no momento, pra se resolver depois? Quantas vezes nós fingimos alegria, sem o coração sorrir? Quantas vezes nós deitamos lado a lado, tão somente pra dormir? Quantas frases foram ditas com palavras Desgastadas pelo tempo, por não ter o que dizer? Quantas vezes nós dissemos eu te amo, pra tentar sobreviver? Aparências, nada mais Sustentaram nossas vidas Que, apesar de mal vividas Têm ainda uma esperança de poder viver Quem sabe rebuscando essas mentiras E vendo onde a verdade se escondeu Se encontre ainda alguma chance de juntar Você, o amor e eu Quantas vezes nós fingimos alegria, sem o coração sorrir? Quantas vezes nós deitamos lado a lado, tão somente pra dormir? Quantas frases foram ditas com palavras Desgastadas pelo tempo, por não ter o que dizer? Quantas vezes nós dissemos eu te amo, pra tentar sobreviver? Aparências, nada mais Sustentaram nossas vidas Que, apesar de mal vividas Têm ainda uma esperança de poder viver Quem sabe rebuscando essas mentiras E vendo onde a verdade se escondeu Se encontre ainda alguma chance de juntar Você, o amor e eu Aparências, nada mais Sustentaram nossas vidas Que, apesar de mal vividas Têm ainda uma esperança de poder viver E quem sabe rebuscando essas mentiras E vendo onde a verdade se escondeu Se encontre ainda alguma chance de juntar Você, o amor e eu Você, o amor e eu"
Aquele Ex,"E você, que aprendeu trair Aprendeu mentir por causa de mim E você, que faz qualquer loucura Inventa mil desculpas só pra vim me ver E ele, o traído que nem sonha Dos perdidos que você deu comigo E eu, que tô bloqueado em tudo Só pro seu namoro com ele vingar Que sou o motivo desse inseguro ter senha do seu celular Sou aquele ex foda que incomoda, incomoda, incomoda sem parar E eu, que tô bloqueado em tudo Só pro seu namoro com ele vingar Que sou o motivo desse inseguro ter senha do seu celular Sou aquele ex foda que incomoda, incomoda, incomoda sem parar E você, que aprendeu trair Aprendeu mentir por causa de mim E você, que faz qualquer loucura Inventa mil desculpas só pra vim me ver E ele, o traído que nem sonha Dos perdidos que você deu comigo E eu, que tô bloqueado em tudo Só pro seu namoro com ele vingar Que sou o motivo desse inseguro ter senha do seu celular Sou aquele ex foda que incomoda, incomoda, incomoda sem parar E eu, que tô bloqueado em tudo Só pro seu namoro com ele vingar Que sou o motivo desse inseguro ter senha do seu celular Sou aquele ex foda que incomoda, incomoda, incomoda sem parar E eu, que tô bloqueado em tudo Só pro seu namoro com ele vingar Que sou o motivo desse inseguro ter senha do seu celular Sou aquele ex foda que incomoda, incomoda, incomoda sem parar"
Aqui É o Seu Lugar,"Não dá pra entender o meu coração Mudou de amizade pra louca paixão Então foi dessa forma que eu percebi Não quero te assustar ou me iludir Não dá mais Não dá pra enganar ou querer fugir Não dá mais Se esse sentimento vai crescendo em mim Mas tenho que encarar essa decisão De me confessar e abrir meu coração É pra você Que eu mando flores todas as manhãs viu? É você Que faz meu coração bater a mais de mil Já não sei O que mais eu faço pra te conquistar Se liga, vem depressa aqui é o seu lugar Nesse coração que só quer te amar Não dá mais Não dá pra enganar ou querer fugir Não dá mais Se esse sentimento vai crescendo em mim Mas tenho que encarar essa decisão De me confessar e abrir meu coração É pra você Que eu mando flores todas as manhãs viu? É você Que faz meu coração bater a mais de mil Já não sei O que mais eu faço pra te conquistar Se liga, vem depressa aqui é o seu lugar Nesse coração que só quer te amar"
