titulo,letra,letra_limpa
Te Vivo,"Quando me sinto só Te faço mais presente Eu fecho os meus olhos E enxergo a gente Em questão de segundos Voo pra outro mundo, outra constelação Não dá para explicar ao ver você chegando Qual a sensação A gente não precisa tá colado pra tá junto Os nossos corpos se conversam por horas e horas Sem palavras, tão dizendo a todo instante um pro outro O quanto se adoram Eu não preciso te olhar pra te ter em meu mundo Porque, aonde quer que eu vá, você está em tudo Tudo, tudo que eu preciso (oh, oh, oh) Te vivo Quando me sinto só Te faço mais presente Eu fecho os meus olhos E enxergo a gente Em questão de segundos Voo pra outro mundo, outra constelação Não dá para explicar ao ver você chegando Qual a sensação (oh, oh, oh) A gente não precisa tá colado pra tá junto Os nossos corpos se conversam por horas e horas Sem palavras, tão dizendo a todo instante um pro outro O quanto se adoram Eu não preciso te olhar pra te ter em meu mundo Porque, aonde quer que eu vá, você está em tudo Tudo, tudo que eu preciso (oh, oh, oh) A gente não precisa tá colado pra tá junto Os nossos corpos se conversam por horas e horas Sem palavras, tão dizendo a todo instante um pro outro O quanto se adoram Eu não preciso te olhar pra te ter em meu mundo Porque, aonde quer que eu vá, você está em tudo Tudo, tudo que eu preciso (oh, oh, oh) Te vivo",quando me sinto só te faço mais presente eu fecho os meus olhos e enxergo a gente em questão de segundos voo pra outro mundo outra constelação não dá para explicar ao ver voc chegando qual a sensação a gente não precisa tá colado pra tá junto os nossos corpos se conversam por horas e horas sem palavras tão dizendo a todo instante um pro outro o quanto se adoram eu não preciso te olhar pra te ter em meu mundo porque aonde quer que eu vá voc está em tudo tudo tudo que eu preciso oh oh oh te vivo quando me sinto só te faço mais presente eu fecho os meus olhos e enxergo a gente em questão de segundos voo pra outro mundo outra constelação não dá para explicar ao ver voc chegando qual a sensação oh oh oh a gente não precisa tá colado pra tá junto os nossos corpos se conversam por horas e horas sem palavras tão dizendo a todo instante um pro outro o quanto se adoram eu não preciso te olhar pra te ter em meu mundo porque aonde quer que eu vá voc está em tudo tudo tudo que eu preciso oh oh oh a gente não precisa tá colado pra tá junto os nossos corpos se conversam por horas e horas sem palavras tão dizendo a todo instante um pro outro o quanto se adoram eu não preciso te olhar pra te ter em meu mundo porque aonde quer que eu vá voc está em tudo tudo tudo que eu preciso oh oh oh te vivo
Te Esperando,"Mesmo que você não caia na minha cantada Mesmo que você conheça outro cara Na fila de um banco, um tal de Fernando Um lance, assim, sem graça Mesmo que vocês fiquem sem se gostar Mesmo que vocês casem sem se amar E depois de seis meses, um olhe pro outro E aí? Pois é, sei lá Mesmo que você suporte este casamento Por causa dos filhos, por muito tempo Dez, vinte, trinta anos Até se assustar com os seus cabelos brancos Um dia vai sentar numa cadeira de balanço Vai lembrar do tempo que tinha vinte anos Vai lembrar de mim e se perguntar Por onde esse cara deve estar? E eu vou estar Te esperando, nem que já esteja velhinha gagá Com noventa, viúva, sozinha, não vou me importar Vou ligar, te chamar pra sair, namorar no sofá Nem que seja além dessa vida, eu vou estar Te esperando Mesmo que você não caia na minha cantada Mesmo que você conheça outro cara Na fila de um banco, um tal de Fernando Um lance, assim, sem graça Mesmo que vocês fiquem sem se gostar Mesmo que vocês casem sem se amar E depois de seis meses, um olhe pro outro E aí? Pois é, sei lá Mesmo que você suporte este casamento Por causa dos filhos, por muito tempo Dez, vinte, trinta anos Até se assustar com os seus cabelos brancos Um dia vai sentar numa cadeira de balanço Vai lembrar do tempo que tinha vinte anos Vai lembrar de mim e se perguntar Por onde esse cara deve estar? E eu vou estar Te esperando, nem que já esteja velhinha gagá Com noventa, viúva, sozinha, não vou me importar Vou ligar, te chamar pra sair, namorar no sofá Nem que seja além dessa vida Eu vou estar Te esperando, nem que já esteja velhinha gagá Com noventa, viúva, sozinha, não vou me importar Vou ligar, te chamar pra sair, namorar no sofá Nem que seja além dessa vida, eu vou estar Te esperando Te esperando",mesmo que voc não caia na minha cantada mesmo que voc conheça outro cara na fila de um banco um tal de fernando um lance assim sem graça mesmo que vocs fiquem sem se gostar mesmo que vocs casem sem se amar e depois de seis meses um olhe pro outro e aí pois é sei lá mesmo que voc suporte este casamento por causa dos filhos por muito tempo dez vinte trinta anos até se assustar com os seus cabelos brancos um dia vai sentar numa cadeira de balanço vai lembrar do tempo que tinha vinte anos vai lembrar de mim e se perguntar por onde esse cara deve estar e eu vou estar te esperando nem que já esteja velhinha gagá com noventa viúva sozinha não vou me importar vou ligar te chamar pra sair namorar no sofá nem que seja além dessa vida eu vou estar te esperando mesmo que voc não caia na minha cantada mesmo que voc conheça outro cara na fila de um banco um tal de fernando um lance assim sem graça mesmo que vocs fiquem sem se gostar mesmo que vocs casem sem se amar e depois de seis meses um olhe pro outro e aí pois é sei lá mesmo que voc suporte este casamento por causa dos filhos por muito tempo dez vinte trinta anos até se assustar com os seus cabelos brancos um dia vai sentar numa cadeira de balanço vai lembrar do tempo que tinha vinte anos vai lembrar de mim e se perguntar por onde esse cara deve estar e eu vou estar te esperando nem que já esteja velhinha gagá com noventa viúva sozinha não vou me importar vou ligar te chamar pra sair namorar no sofá nem que seja além dessa vida eu vou estar te esperando nem que já esteja velhinha gagá com noventa viúva sozinha não vou me importar vou ligar te chamar pra sair namorar no sofá nem que seja além dessa vida eu vou estar te esperando te esperando
Tanto Faz,"O quarto meio escuro, a janela aberta A porta encostada, a Lua está tão bela E eu tô aqui sentindo falta de você Já vi todos os filmes, li todos os livros E tô esperando a próxima novela Tudo porque eu tô tentando te esquecer E em qualquer lugar que eu vou Onde você está, eu estou, oh O meu pensamento te segue Minha saudade te persegue O meu amor não envelhece Cê não sai da minha mente É que você me causa febre De uns 40 graus ou um pouco mais Eu quero é você, eu amo só você E o resto tanto faz, tanto faz E em qualquer lugar que eu vou Onde você está, eu estou, oh O meu pensamento te segue Minha saudade te persegue O meu amor não envelhece Cê não sai da minha mente É que você me causa febre De uns 40 graus ou um pouco mais Eu quero é você, eu amo só você E o resto, oh O meu pensamento te segue Minha saudade te persegue O meu amor não envelhece Cê não sai da minha mente É que você me causa febre De uns 40 graus ou um pouco mais Eu quero é você, eu amo só você E o resto tanto faz, tanto faz E o resto tanto faz",o quarto meio escuro a janela aberta a porta encostada a lua está tão bela e eu t aqui sentindo falta de voc já vi todos os filmes li todos os livros e t esperando a próxima novela tudo porque eu t tentando te esquecer e em qualquer lugar que eu vou onde voc está eu estou oh o meu pensamento te segue minha saudade te persegue o meu amor não envelhece c não sai da minha mente é que voc me causa febre de uns graus ou um pouco mais eu quero é voc eu amo só voc e o resto tanto faz tanto faz e em qualquer lugar que eu vou onde voc está eu estou oh o meu pensamento te segue minha saudade te persegue o meu amor não envelhece c não sai da minha mente é que voc me causa febre de uns graus ou um pouco mais eu quero é voc eu amo só voc e o resto oh o meu pensamento te segue minha saudade te persegue o meu amor não envelhece c não sai da minha mente é que voc me causa febre de uns graus ou um pouco mais eu quero é voc eu amo só voc e o resto tanto faz tanto faz e o resto tanto faz
MEIO TERMO,"Vida Teu cheiro ainda tá na minha camisa Toda vez que cê vai, uma parte fica Só pra me assombrar Que por mais que eu queira, você não é minha ainda Se eu der bobeira O que não falta é marmanjo na fila Torcendo pra gente não vingar Mas é a mesma coisa do lado de cá Se não levar a gente a sério, alguém vai levar Decide logo, porque água morna serve nem pra chá Se cê não quiser nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Se não quer nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Ô, vida Teu cheiro ainda tá na minha camisa Toda vez que cê vai, uma parte fica Só pra me assombrar Que por mais que eu queira, você não é minha ainda Se eu der bobeira O que não falta é marmanjo na fila Torcendo pra gente não vingar Mas é a mesma coisa do lado de cá Se não levar a gente a sério, alguém vai levar Decide logo, porque água morna serve nem pra chá Se cê não quiser nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Se não quer nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Se não quer nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma Se não quer nada sério, eu espero Que não se arrependa de me devolver pra rua Não tem meio-termo, eu não sou bagunça Ou ama pra porra ou porra nenhuma",vida teu cheiro ainda tá na minha camisa toda vez que c vai uma parte fica só pra me assombrar que por mais que eu queira voc não é minha ainda se eu der bobeira o que não falta é marmanjo na fila torcendo pra gente não vingar mas é a mesma coisa do lado de cá se não levar a gente a sério alguém vai levar decide logo porque água morna serve nem pra chá se c não quiser nada sério eu espero que não se arrependa de me devolver pra rua não tem meiotermo eu não sou bagunça ou ama pra porra ou porra nenhuma se não quer nada sério eu espero que não se arrependa de me devolver pra rua não tem meiotermo eu não sou bagunça ou ama pra porra ou porra nenhuma vida teu cheiro ainda tá na minha camisa toda vez que c vai uma parte fica só pra me assombrar que por mais que eu queira voc não é minha ainda se eu der bobeira o que não falta é marmanjo na fila torcendo pra gente não vingar mas é a mesma coisa do lado de cá se não levar a gente a sério alguém vai levar decide logo porque água morna serve nem pra chá se c não quiser nada sério eu espero que não se arrependa de me devolver pra rua não tem meiotermo eu não sou bagunça ou ama pra porra ou porra nenhuma se não quer nada sério eu espero que não se arrependa de me devolver pra rua não tem meiotermo eu não sou bagunça ou ama pra porra ou porra nenhuma se não quer nada sério eu espero que não se arrependa de me devolver pra rua não tem meiotermo eu não sou bagunça ou ama pra porra ou porra nenhuma se não quer nada sério eu espero que não se arrependa de me devolver pra rua não tem meiotermo eu não sou bagunça ou ama pra porra ou porra nenhuma
Escreve Aí,"Te falo tanta coisa enquanto tento segurar a lágrima Que insiste em cair Entro no meu carro, abro o vidro e, antes de ir embora Eu te digo: Olha aqui, ainda vou te esquecer Escreve aí Chego em casa, dou de cara com a sua foto Uma ducha e um vinho pra acalmar E eu penso: Vou partir pra outra logo Mas quem é que eu tô tentando enganar? Mas quem é que eu tô tentando enganar? É só você fazer assim Que eu volto É só você fazer assim Que eu volto Que eu volto É que eu te amo e falo na sua cara Se tirar você de mim não sobra nada O teu sorriso me desmonta inteiro Até um simples estalar de dedos Talvez você tenha deixado eu ir Pra ter o gosto de me ver aqui Fraco demais para continuar Juntando forças pra poder falar Que eu volto, é só você sorrir Que eu volto, é só fazer assim Que eu volto Eu volto Eu volto Chego em casa, dou de cara com a sua foto Uma ducha e um vinho pra acalmar E eu penso: Vou partir pra outra logo Mas quem é que eu tô tentando enganar? Mas quem é que eu tô tentando enganar? É só você fazer assim Que eu volto É só você fazer assim Que eu volto Que eu volto É que eu te amo e falo na sua cara Se tirar você de mim não sobra nada O teu sorriso me desmonta inteiro Até um simples estalar de dedos Talvez você tenha deixado eu ir Pra ter o gosto de me ver aqui Fraco demais para continuar Juntando forças pra poder falar Que eu volto, é só você sorrir Que eu volto, é só fazer assim Que eu volto, é só fazer assim Que eu volto Eu volto Eu volto",te falo tanta coisa enquanto tento segurar a lágrima que insiste em cair entro no meu carro abro o vidro e antes de ir embora eu te digo olha aqui ainda vou te esquecer escreve aí chego em casa dou de cara com a sua foto uma ducha e um vinho pra acalmar e eu penso vou partir pra outra logo mas quem é que eu t tentando enganar mas quem é que eu t tentando enganar é só voc fazer assim que eu volto é só voc fazer assim que eu volto que eu volto é que eu te amo e falo na sua cara se tirar voc de mim não sobra nada o teu sorriso me desmonta inteiro até um simples estalar de dedos talvez voc tenha deixado eu ir pra ter o gosto de me ver aqui fraco demais para continuar juntando forças pra poder falar que eu volto é só voc sorrir que eu volto é só fazer assim que eu volto eu volto eu volto chego em casa dou de cara com a sua foto uma ducha e um vinho pra acalmar e eu penso vou partir pra outra logo mas quem é que eu t tentando enganar mas quem é que eu t tentando enganar é só voc fazer assim que eu volto é só voc fazer assim que eu volto que eu volto é que eu te amo e falo na sua cara se tirar voc de mim não sobra nada o teu sorriso me desmonta inteiro até um simples estalar de dedos talvez voc tenha deixado eu ir pra ter o gosto de me ver aqui fraco demais para continuar juntando forças pra poder falar que eu volto é só voc sorrir que eu volto é só fazer assim que eu volto é só fazer assim que eu volto eu volto eu volto
DONA,"Tem segunda intenção nesse: Não, não para, não No selinho no fim do beijo que você insiste em me dar Isso é coisa de quem quer amar Cê me conheceu depois que deixei de ser dois e voltei a ser só um Você não tem culpa, isso é um erro comum Eu tava ali pra esquecer alguém Cê tava ali pra encontrar alguém E encontrou, só que tem um porém O coração que cê quer entrar tem dona O te amo que cê quer escutar tem dona Eu posso te emprestar meu corpo porque ele ainda é meu Mas o sentimento ela não me devolveu O coração que cê quer entrar tem dona O te amo que cê quer escutar tem dona Eu posso te emprestar meu corpo porque ele ainda é meu Mas o sentimento ela não me devolveu Ela não me devolveu Cê me conheceu depois que deixei de ser dois e voltei a ser só um Você não tem culpa, isso é um erro comum Eu tava ali pra esquecer alguém Cê tava ali pra encontrar alguém E encontrou, só que tem um porém O coração que cê quer entrar tem dona O te amo que cê quer escutar tem dona Eu posso te emprestar meu corpo porque ele ainda é meu Mas o sentimento ela não me devolveu O coração que cê quer entrar tem dona O te amo que cê quer escutar tem dona Eu posso te emprestar meu corpo porque ele ainda é meu Mas o sentimento ela não me devolveu Ela não me devolveu",tem segunda intenção nesse não não para não no selinho no fim do beijo que voc insiste em me dar isso é coisa de quem quer amar c me conheceu depois que deixei de ser dois e voltei a ser só um voc não tem culpa isso é um erro comum eu tava ali pra esquecer alguém c tava ali pra encontrar alguém e encontrou só que tem um porém o coração que c quer entrar tem dona o te amo que c quer escutar tem dona eu posso te emprestar meu corpo porque ele ainda é meu mas o sentimento ela não me devolveu o coração que c quer entrar tem dona o te amo que c quer escutar tem dona eu posso te emprestar meu corpo porque ele ainda é meu mas o sentimento ela não me devolveu ela não me devolveu c me conheceu depois que deixei de ser dois e voltei a ser só um voc não tem culpa isso é um erro comum eu tava ali pra esquecer alguém c tava ali pra encontrar alguém e encontrou só que tem um porém o coração que c quer entrar tem dona o te amo que c quer escutar tem dona eu posso te emprestar meu corpo porque ele ainda é meu mas o sentimento ela não me devolveu o coração que c quer entrar tem dona o te amo que c quer escutar tem dona eu posso te emprestar meu corpo porque ele ainda é meu mas o sentimento ela não me devolveu ela não me devolveu
Garotas Não Merecem Chorar,"Ela é uma mulher-menina que precisa urgentemente ser mais forte Ela quer alguém que leia seu sorriso antes de olhar o seu decote Ela vê suas amigas se entregando ao primeiro que aparecer Numa tentativa boba de se preencher Garotas querem mais amor de verdade, mais sinceridade Garotos são todos iguais: Têm necessidade, não passam vontade Mas tô aqui pra provar Eu não te deixaria por uma aventura à toa (oh) E nem te trocaria por qualquer outra pessoa (oh) Só pra matar a vontade, o crime não compensa Garotas inocentes não merecem chorar (oh) Por garotos que não têm a verdade no olhar (oh) Escolhi ser diferente, amor Só pra te amar (Oh, oh) Ela é uma mulher-menina que precisa urgentemente ser mais forte Ela quer alguém que leia seu sorriso antes de olhar o seu decote Ela vê suas amigas se entregando ao primeiro que aparecer Numa tentativa boba de se preencher Garotas querem mais amor de verdade, mais sinceridade Garotos são todos iguais: Têm necessidade, não passam vontade Mas tô aqui pra provar Eu não te deixaria por uma aventura à toa (oh) E nem te trocaria por qualquer outra pessoa (oh) Só pra matar a vontade, o crime não compensa Garotas inocentes não merecem chorar (oh) Por garotos que não têm a verdade no olhar (oh) Escolhi ser diferente, amor Eu não te deixaria por uma aventura à toa (oh) E nem te trocaria por qualquer outra pessoa (oh) O crime não compensa Garotas inocentes não merecem chorar (oh) Por garotos que não têm a verdade no olhar (oh) Escolhi ser diferente, amor Só pra te amar Escolhi ser diferente, amor Só pra te amar",ela é uma mulhermenina que precisa urgentemente ser mais forte ela quer alguém que leia seu sorriso antes de olhar o seu decote ela v suas amigas se entregando ao primeiro que aparecer numa tentativa boba de se preencher garotas querem mais amor de verdade mais sinceridade garotos são todos iguais tm necessidade não passam vontade mas t aqui pra provar eu não te deixaria por uma aventura toa oh e nem te trocaria por qualquer outra pessoa oh só pra matar a vontade o crime não compensa garotas inocentes não merecem chorar oh por garotos que não tm a verdade no olhar oh escolhi ser diferente amor só pra te amar oh oh ela é uma mulhermenina que precisa urgentemente ser mais forte ela quer alguém que leia seu sorriso antes de olhar o seu decote ela v suas amigas se entregando ao primeiro que aparecer numa tentativa boba de se preencher garotas querem mais amor de verdade mais sinceridade garotos são todos iguais tm necessidade não passam vontade mas t aqui pra provar eu não te deixaria por uma aventura toa oh e nem te trocaria por qualquer outra pessoa oh só pra matar a vontade o crime não compensa garotas inocentes não merecem chorar oh por garotos que não tm a verdade no olhar oh escolhi ser diferente amor eu não te deixaria por uma aventura toa oh e nem te trocaria por qualquer outra pessoa oh o crime não compensa garotas inocentes não merecem chorar oh por garotos que não tm a verdade no olhar oh escolhi ser diferente amor só pra te amar escolhi ser diferente amor só pra te amar
MULHER SEGURA,"Ela começa, ela termina Ela não transa, ela ensina Se não for pra ser o amor da vida, ela nem vai Ela sabe a diferença O que não rola, o que compensa Ela é tensa, ela é intensa até demais Ela é princesa, ela é tranqueira Ela é segunda, sexta-feira Se ninguém fizer ela feliz, ela se faz Se ocê ama, ela te ama Se ocê trai, ela te trai Não peita, cê num guenta a briga É do beijo pra terapia, saudade pra abstinência Hoje é sua, ontem foi minha E amanhã só Deus sabe o que ela pensa O pra sempre dela sempre tem vida curta Ninguém segura uma mulher segura Ninguém segura uma mulher segura Não peita, cê num guenta a briga É do beijo pra terapia, saudade pra abstinência Hoje é sua, ontem foi minha E amanhã só Deus sabe o que ela pensa O pra sempre dela sempre tem vida curta Ninguém segura uma mulher segura Ninguém segura uma mulher segura Ela começa, ela termina Ela não transa, ela ensina Se não for pra ser o amor da vida, ela nem vai Ela sabe a diferença O que não rola, o que compensa Ela é tensa, ela é intensa até demais Ela é princesa, ela é tranqueira Ela é segunda, sexta-feira Se ninguém fizer ela feliz, ela se faz Se ocê ama, ela te ama Se ocê trai, ela te trai Não peita, cê num guenta a briga É do beijo pra terapia, saudade pra abstinência Hoje é sua, ontem foi minha E amanhã só Deus sabe o que ela pensa O pra sempre dela sempre tem vida curta Ninguém segura uma mulher segura Ninguém segura uma mulher segura Não peita, cê num guenta a briga É do beijo pra terapia, saudade pra abstinência Hoje é sua, ontem foi minha E amanhã só Deus sabe o que ela pensa O pra sempre dela sempre tem vida curta Ninguém segura uma mulher segura Ninguém segura uma mulher segura O pra sempre dela sempre tem vida curta Ninguém segura uma mulher segura",ela começa ela termina ela não transa ela ensina se não for pra ser o amor da vida ela nem vai ela sabe a diferença o que não rola o que compensa ela é tensa ela é intensa até demais ela é princesa ela é tranqueira ela é segunda sextafeira se ninguém fizer ela feliz ela se faz se oc ama ela te ama se oc trai ela te trai não peita c num guenta a briga é do beijo pra terapia saudade pra abstinncia hoje é sua ontem foi minha e amanhã só deus sabe o que ela pensa o pra sempre dela sempre tem vida curta ninguém segura uma mulher segura ninguém segura uma mulher segura não peita c num guenta a briga é do beijo pra terapia saudade pra abstinncia hoje é sua ontem foi minha e amanhã só deus sabe o que ela pensa o pra sempre dela sempre tem vida curta ninguém segura uma mulher segura ninguém segura uma mulher segura ela começa ela termina ela não transa ela ensina se não for pra ser o amor da vida ela nem vai ela sabe a diferença o que não rola o que compensa ela é tensa ela é intensa até demais ela é princesa ela é tranqueira ela é segunda sextafeira se ninguém fizer ela feliz ela se faz se oc ama ela te ama se oc trai ela te trai não peita c num guenta a briga é do beijo pra terapia saudade pra abstinncia hoje é sua ontem foi minha e amanhã só deus sabe o que ela pensa o pra sempre dela sempre tem vida curta ninguém segura uma mulher segura ninguém segura uma mulher segura não peita c num guenta a briga é do beijo pra terapia saudade pra abstinncia hoje é sua ontem foi minha e amanhã só deus sabe o que ela pensa o pra sempre dela sempre tem vida curta ninguém segura uma mulher segura ninguém segura uma mulher segura o pra sempre dela sempre tem vida curta ninguém segura uma mulher segura
Tudo Que Você Quiser,"Oh, oh Oh, oh Tem dias que eu acordo pensando em você Em fração de segundo, vejo o mundo desabar Aí que cai a ficha que eu não vou te ver Será que esse vazio um dia vai me abandonar? Tem gente que tem cheiro de rosa, de avelã Tem o perfume doce de toda manhã Você tem tudo Você tem muito Muito mais que um dia eu sonhei pra mim Tem a pureza de um anjo querubim Eu trocaria tudo pra te ter aqui Eu troco minha paz por um beijo seu Eu troco meu destino pra viver o seu Eu troco minha cama pra dormir na sua Eu troco mil estrelas pra te dar a Lua E tudo que você quiser E se você quiser, te dou meu sobrenome Oh, oh Oh, oh Tem gente que tem cheiro de rosa, de avelã Tem o perfume doce de toda manhã Você tem tudo Você tem muito Muito mais que um dia eu sonhei pra mim Tem a pureza de um anjo querubim Eu trocaria tudo pra te ter aqui Eu troco minha paz por um beijo seu Eu troco meu destino pra viver o seu Eu troco minha cama pra dormir na sua Eu troco mil estrelas pra te dar a Lua E tudo que você quiser E se você quiser, te dou meu sobrenome Eu troco minha paz por um beijo seu Eu troco meu destino pra viver o seu Eu troco minha cama pra dormir na sua Eu troco mil estrelas pra te dar a Lua E tudo que você quiser E se você quiser, te dou meu sobrenome Oh, oh Oh, oh",oh oh oh oh tem dias que eu acordo pensando em voc em fração de segundo vejo o mundo desabar aí que cai a ficha que eu não vou te ver será que esse vazio um dia vai me abandonar tem gente que tem cheiro de rosa de avelã tem o perfume doce de toda manhã voc tem tudo voc tem muito muito mais que um dia eu sonhei pra mim tem a pureza de um anjo querubim eu trocaria tudo pra te ter aqui eu troco minha paz por um beijo seu eu troco meu destino pra viver o seu eu troco minha cama pra dormir na sua eu troco mil estrelas pra te dar a lua e tudo que voc quiser e se voc quiser te dou meu sobrenome oh oh oh oh tem gente que tem cheiro de rosa de avelã tem o perfume doce de toda manhã voc tem tudo voc tem muito muito mais que um dia eu sonhei pra mim tem a pureza de um anjo querubim eu trocaria tudo pra te ter aqui eu troco minha paz por um beijo seu eu troco meu destino pra viver o seu eu troco minha cama pra dormir na sua eu troco mil estrelas pra te dar a lua e tudo que voc quiser e se voc quiser te dou meu sobrenome eu troco minha paz por um beijo seu eu troco meu destino pra viver o seu eu troco minha cama pra dormir na sua eu troco mil estrelas pra te dar a lua e tudo que voc quiser e se voc quiser te dou meu sobrenome oh oh oh oh
Chuva de Arroz,"Não mudei de cidade, nem de telefone Só escolhi ser feliz É o mesmo endereço, o mesmo apartamento Em frente à igreja matriz Por isso todo mundo passa E quem nunca passou, vai passar Já tô dizendo aos meus amigos Calma que eu não vou pirar Já pirei! Me apaixonei, perdidamente E o que eu sei, é que daqui pra frente Vai ser nossa cidade, nosso telefone Nosso endereço, nosso apartamento Sabe aquela igreja? Tô aqui na frente, imaginando chuva de arroz na gente! Não mudei de cidade, nem de telefone Só escolhi ser feliz É o mesmo endereço, o mesmo apartamento Em frente a igreja matriz Por isso todo mundo passa E quem nunca passou, vai passar Já tô dizendo aos meus amigos Calma que eu não vou pirar Já pirei! Me apaixonei, perdidamente E o que eu sei, é que daqui pra frente Vai ser nossa cidade, nosso telefone Nosso endereço, nosso apartamento Sabe aquela igreja? Tô aqui na frente, imaginando chuvas Vai ser nossa cidade, nosso telefone Nosso endereço, nosso apartamento Sabe aquela igreja? Tô aqui na frente, imaginando chuva de arroz na gente!",não mudei de cidade nem de telefone só escolhi ser feliz é o mesmo endereço o mesmo apartamento em frente igreja matriz por isso todo mundo passa e quem nunca passou vai passar já t dizendo aos meus amigos calma que eu não vou pirar já pirei me apaixonei perdidamente e o que eu sei é que daqui pra frente vai ser nossa cidade nosso telefone nosso endereço nosso apartamento sabe aquela igreja t aqui na frente imaginando chuva de arroz na gente não mudei de cidade nem de telefone só escolhi ser feliz é o mesmo endereço o mesmo apartamento em frente a igreja matriz por isso todo mundo passa e quem nunca passou vai passar já t dizendo aos meus amigos calma que eu não vou pirar já pirei me apaixonei perdidamente e o que eu sei é que daqui pra frente vai ser nossa cidade nosso telefone nosso endereço nosso apartamento sabe aquela igreja t aqui na frente imaginando chuvas vai ser nossa cidade nosso telefone nosso endereço nosso apartamento sabe aquela igreja t aqui na frente imaginando chuva de arroz na gente
CORAÇÃO CIGANO (part. Luísa Sonza),"É que eu queria tanto que você ficasse Que ao invés de me soltar, você me abraçasse Dá só mais um pouquinho desse amor cigano Que segue me iludindo, e eu acreditando Fazer o que se ela roubou o meu juízo? Fazer o que se eu tô me sentindo vivo? Tirou o meu chão, me levou pro colchão E fez acampamento em outro coração Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar morando, oh Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar morando Yeah (coração cigano) Segue me enganando Do que você me dá, eu quero sempre mais Por uma hora ou duas noites, tanto faz Já leu minha mão, meu olhar, meu futuro Já sabe: Se manda mensagem, eu nem durmo Me leva pro céu, lá de cima me joga Esse amor cigano é um caminho sem volta Fazer o que se ela roubou o meu juízo? Fazer o que se eu tô me sentindo vivo? Tirou o meu chão, me levou pro colchão E fez acampamento em outro coração Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar morando, oh Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar, aqui no meu olhar Você não entra mais, chega Coração disse: Chega Mas por que meu Deus colocou numa só tanta beleza? E se eu chego à toa e vou tirando a roupa Se eu disser que não quero, ri, que essa piada é boa Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar morando, coração cigano Coração cigano, cigano Segue me enganando, mudando De cheiro em cheiro, de beijo em beijo E aqui no meu olhar, e aqui no meu olhar morando",é que eu queria tanto que voc ficasse que ao invés de me soltar voc me abraçasse dá só mais um pouquinho desse amor cigano que segue me iludindo e eu acreditando fazer o que se ela roubou o meu juízo fazer o que se eu t me sentindo vivo tirou o meu chão me levou pro colchão e fez acampamento em outro coração coração cigano cigano segue me enganando mudando de cheiro em cheiro de beijo em beijo e aqui no meu olhar morando oh coração cigano cigano segue me enganando mudando de cheiro em cheiro de beijo em beijo e aqui no meu olhar morando yeah coração cigano segue me enganando do que voc me dá eu quero sempre mais por uma hora ou duas noites tanto faz já leu minha mão meu olhar meu futuro já sabe se manda mensagem eu nem durmo me leva pro céu lá de cima me joga esse amor cigano é um caminho sem volta fazer o que se ela roubou o meu juízo fazer o que se eu t me sentindo vivo tirou o meu chão me levou pro colchão e fez acampamento em outro coração coração cigano cigano segue me enganando mudando de cheiro em cheiro de beijo em beijo e aqui no meu olhar morando oh coração cigano cigano segue me enganando mudando de cheiro em cheiro de beijo em beijo e aqui no meu olhar aqui no meu olhar voc não entra mais chega coração disse chega mas por que meu deus colocou numa só tanta beleza e se eu chego toa e vou tirando a roupa se eu disser que não quero ri que essa piada é boa coração cigano cigano segue me enganando mudando de cheiro em cheiro de beijo em beijo e aqui no meu olhar morando coração cigano coração cigano cigano segue me enganando mudando de cheiro em cheiro de beijo em beijo e aqui no meu olhar e aqui no meu olhar morando
